Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)
Q06787	FMR1_HUMAN	Synaptic functional regulator FMR1 (Fragile X mental retardation protein 1) (FMRP) (Protein FMR-1)	Homo sapiens (Human)	632	FMR1	axon [GO:0030424]; axon cytoplasm [GO:1904115]; axon terminus [GO:0043679]; Cajal body [GO:0015030]; cell junction [GO:0030054]; cell projection [GO:0042995]; chromocenter [GO:0010369]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic filopodium [GO:1902737]; dendritic spine [GO:0043197]; dendritic spine neck [GO:0044326]; extrinsic component of plasma membrane [GO:0019897]; filopodium tip [GO:0032433]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; growth cone filopodium [GO:1990812]; membrane [GO:0016020]; messenger ribonucleoprotein complex [GO:1990124]; mRNA cap binding complex [GO:0005845]; neuronal cell body [GO:0043025]; neuronal ribonucleoprotein granule [GO:0071598]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734]; ribonucleoprotein complex [GO:1990904]; ribonucleoprotein granule [GO:0035770]; synapse [GO:0045202]; viral replication complex [GO:0019034]
Q00613	HSF1_HUMAN	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	Homo sapiens (Human)	529	HSF1	centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; euchromatin [GO:0000791]; heterochromatin [GO:0000792]; kinetochore [GO:0000776]; mitotic spindle pole [GO:0097431]; nuclear stress granule [GO:0097165]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]; pronucleus [GO:0045120]; ribonucleoprotein complex [GO:1990904]
P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Homo sapiens (Human)	806	VCP	ATPase complex [GO:1904949]; azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; lipid droplet [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; proteasome complex [GO:0000502]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; site of double-strand break [GO:0035861]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]; VCP-NSFL1C complex [GO:1990730]
P26651	TTP_HUMAN	mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	Homo sapiens (Human)	326	ZFP36	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]
Q9BZB8	CPEB1_HUMAN	Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (h-CPEB) (hCPEB-1)	Homo sapiens (Human)	566	CPEB1	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; messenger ribonucleoprotein complex [GO:1990124]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]
Q14011	CIRBP_HUMAN	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	Homo sapiens (Human)	172	CIRBP	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
Q13148	TADBP_HUMAN	TAR DNA-binding protein 43 (TDP-43)	Homo sapiens (Human)	414	TARDBP	cytoplasm [GO:0005737]; interchromatin granule [GO:0035061]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perichromatin fibrils [GO:0005726]; ribonucleoprotein complex [GO:1990904]
Q96R06	SPAG5_HUMAN	Sperm-associated antigen 5 (Astrin) (Deepest) (Mitotic spindle-associated protein p126) (MAP126)	Homo sapiens (Human)	1193	SPAG5	centriolar satellite [GO:0034451]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; microtubule plus-end [GO:0035371]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]
Q14444	CAPR1_HUMAN	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	Homo sapiens (Human)	709	CAPRIN1	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; membrane [GO:0016020]; P-body [GO:0000932]; synapse [GO:0045202]
O15234	CASC3_HUMAN	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	Homo sapiens (Human)	703	CASC3	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]
Q92499	DDX1_HUMAN	ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1) (DEAD box protein retinoblastoma) (DBP-RB)	Homo sapiens (Human)	740	DDX1	cleavage body [GO:0071920]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; tRNA-splicing ligase complex [GO:0072669]
Q9NZI8	IF2B1_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	Homo sapiens (Human)	577	IGF2BP1	CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]
Q8TCF1	ZFAN1_HUMAN	AN1-type zinc finger protein 1 (Zinc finger AN1-type-containing protein 1)	Homo sapiens (Human)	268	ZFAND1	cytoplasmic stress granule [GO:0010494]
Q8N122	RPTOR_HUMAN	Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)	Homo sapiens (Human)	1335	RPTOR	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; TORC1 complex [GO:0031931]
Q8TB72	PUM2_HUMAN	Pumilio homolog 2 (Pumilio-2)	Homo sapiens (Human)	1066	PUM2	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]
Q8N543	OGFD1_HUMAN	Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase)	Homo sapiens (Human)	542	OGFOD1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q07352	TISB_HUMAN	mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)	Homo sapiens (Human)	338	ZFP36L1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]
P26196	DDX6_HUMAN	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	Homo sapiens (Human)	483	DDX6	cell-cell adherens junction [GO:0005913]; chromatoid body [GO:0033391]; concave side of sperm head [GO:0061830]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; heterochromatin [GO:0000792]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; outer dense fiber [GO:0001520]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; RISC complex [GO:0016442]; sperm annulus [GO:0097227]
Q9Y2V2	CHSP1_HUMAN	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24)	Homo sapiens (Human)	147	CARHSP1	cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; P-body [GO:0000932]; P granule [GO:0043186]
P05198	IF2A_HUMAN	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	Homo sapiens (Human)	315	EIF2S1	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 2B complex [GO:0005851]; eukaryotic translation initiation factor 2 complex [GO:0005850]; extracellular exosome [GO:0070062]; glial limiting end-foot [GO:0097451]; membrane [GO:0016020]; multi-eIF complex [GO:0043614]; nucleus [GO:0005634]; polysome [GO:0005844]; synapse [GO:0045202]; translation initiation ternary complex [GO:0044207]
O00425	IF2B3_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	Homo sapiens (Human)	579	IGF2BP3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P51114	FXR1_HUMAN	Fragile X mental retardation syndrome-related protein 1 (hFXR1p)	Homo sapiens (Human)	621	FXR1	axon [GO:0030424]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein granule [GO:0035770]
P51116	FXR2_HUMAN	Fragile X mental retardation syndrome-related protein 2	Homo sapiens (Human)	673	FXR2	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; dendritic spine [GO:0043197]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein granule [GO:0035770]
Q14451	GRB7_HUMAN	Growth factor receptor-bound protein 7 (B47) (Epidermal growth factor receptor GRB-7) (GRB7 adapter protein)	Homo sapiens (Human)	532	GRB7	cell projection [GO:0042995]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]
O60828	PQBP1_HUMAN	Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1)	Homo sapiens (Human)	265	PQBP1	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; neuronal ribonucleoprotein granule [GO:0071598]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P67809	YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	Homo sapiens (Human)	324	YBX1	CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; histone pre-mRNA 3'end processing complex [GO:0071204]; intracellular membrane-bounded organelle [GO:0043231]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; U12-type spliceosomal complex [GO:0005689]
Q9NR56	MBNL1_HUMAN	Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein)	Homo sapiens (Human)	388	MBNL1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q01085	TIAR_HUMAN	Nucleolysin TIAR (TIA-1-related protein)	Homo sapiens (Human)	375	TIAL1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P03950	ANGI_HUMAN	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	Homo sapiens (Human)	147	ANG	angiogenin-PRI complex [GO:0032311]; basement membrane [GO:0005604]; cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q99460	PSMD1_HUMAN	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	Homo sapiens (Human)	953	PSMD1	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]
Q8NC51	PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	Homo sapiens (Human)	408	SERBP1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q14671	PUM1_HUMAN	Pumilio homolog 1 (HsPUM) (Pumilio-1)	Homo sapiens (Human)	1186	PUM1	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]
Q93062	RBPMS_HUMAN	RNA-binding protein with multiple splicing (RBP-MS) (Heart and RRM expressed sequence) (Hermes)	Homo sapiens (Human)	196	RBPMS	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; P-body [GO:0000932]
Q9BWF3	RBM4_HUMAN	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	Homo sapiens (Human)	364	RBM4	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P43686	PRS6B_HUMAN	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	Homo sapiens (Human)	418	PSMC4	cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; inclusion body [GO:0016234]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; synapse [GO:0045202]
P25786	PSA1_HUMAN	Proteasome subunit alpha type-1 (EC 3.4.25.1) (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	Homo sapiens (Human)	263	PSMA1	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; polysome [GO:0005844]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]
O75340	PDCD6_HUMAN	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	Homo sapiens (Human)	191	PDCD6	COPII vesicle coat [GO:0030127]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]
Q9UPU9	SMAG1_HUMAN	Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A)	Homo sapiens (Human)	718	SAMD4A	cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; fibrillar center [GO:0001650]; P-body [GO:0000932]; synapse [GO:0045202]
P23246	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Homo sapiens (Human)	707	SFPQ	chromatin [GO:0000785]; dendrite cytoplasm [GO:0032839]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; RNA polymerase II transcription factor complex [GO:0090575]
P31483	TIA1_HUMAN	Nucleolysin TIA-1 isoform p40 (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	Homo sapiens (Human)	386	TIA1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear stress granule [GO:0097165]; nucleoplasm [GO:0005654]
O95391	SLU7_HUMAN	Pre-mRNA-splicing factor SLU7 (hSlu7)	Homo sapiens (Human)	586	SLU7	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small nuclear ribonucleoprotein complex [GO:0030532]; spliceosomal complex [GO:0005681]
P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	Homo sapiens (Human)	372	HNRNPA1	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
Q9Y6J8	STYL1_HUMAN	Serine/threonine/tyrosine-interacting-like protein 1 (Dual specificity phosphatase inhibitor MK-STYX) (Dual specificity protein phosphatase 24) (Inactive dual specificity protein phosphatase MK-STYX) (Map kinase phosphatase-like protein MK-STYX)	Homo sapiens (Human)	313	STYXL1	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q08211	DHX9_HUMAN	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	Homo sapiens (Human)	1270	DHX9	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; membrane [GO:0016020]; micro-ribonucleoprotein complex [GO:0035068]; nuclear body [GO:0016604]; nuclear stress granule [GO:0097165]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perichromatin fibrils [GO:0005726]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; RISC-loading complex [GO:0070578]
Q9Y315	DEOC_HUMAN	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	Homo sapiens (Human)	318	DERA	cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]
Q99700	ATX2_HUMAN	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	Homo sapiens (Human)	1313	ATXN2	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; ribonucleoprotein complex [GO:1990904]; trans-Golgi network [GO:0005802]
Q15717	ELAV1_HUMAN	ELAV-like protein 1 (Hu-antigen R) (HuR)	Homo sapiens (Human)	326	ELAVL1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynapse [GO:0098794]; ribonucleoprotein complex [GO:1990904]
