protein	count_glycosylation	N-linked (GlcNAc...) asparagine	O-linked (GalNAc...) threonine	N-linked (GlcNAc...) (complex) asparagine	O-linked (GalNAc...) serine	O-linked (GlcNAc) serine	C-linked (Man) tryptophan	N-linked (Glc) (glycation) lysine	O-linked (Gal...) hydroxylysine	O-linked (GlcNAc) threonine	O-linked (Xyl...) (glycosaminoglycan) serine	O-linked (Fuc...) threonine	O-linked (Xyl...) (chondroitin sulfate) serine	O-linked (Glc...) serine	O-linked (Xyl...) (heparan sulfate) serine	N-linked (GlcNAc...)	N-linked (GlcNAc...) (high mannose) asparagine	O-linked (Fuc...) serine	O-linked (HexNAc...) threonine	N-linked (GlcNAc...) (keratan sulfate) asparagine	N-linked (GlcNAc...) (polylactosaminoglycan) asparagine
O95393	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZN4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13873	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BRK5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P20851	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZS8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NFZ8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N126	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30988	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00555	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60840	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07711	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N8R5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P09668	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TE58	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P27037	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13705	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P15291	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60512	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60909	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60513	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBV7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16278	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NFQ5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N4F0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P59827	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TDL5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NFQ6	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BXI9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00736	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P09871	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5VU97	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86VB7	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULB4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22223	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55286	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55285	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULB5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULX7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08185	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14958	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H324	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q76LX8	18	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q7Z5Y6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12645	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q76B58	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0B6	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23280	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P0DN25	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NY47	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54289	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16790	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BY67	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07498	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P14091	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43852	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07858	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P43235	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBR2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15072	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5VV63	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04920	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16442	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22004	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BWV1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPY3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZP8	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q10588	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16581	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z3S7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P19022	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96L12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P27797	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96PB1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P25774	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P53634	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z7M8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O96024	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35613	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12644	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18075	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96DR5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UXG8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P0C862	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Q96G97	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P296	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95971	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IU99	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04003	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P0X4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96IY4	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q00973	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43505	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBX8	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02338	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30411	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34820	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UPA5	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q9BQP9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22003	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MVZ5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P78410	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60477	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
