Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )	Glycosylation
O00468	AGRIN_HUMAN	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	Homo sapiens (Human)	2068	AGRN	CARBOHYD 135 135 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 250 250 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 777 777 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 932 932 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1835 1835 O-linked (Fuc...) serine. {ECO:0000250|UniProtKB:P25304}.
O00469	PLOD2_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	Homo sapiens (Human)	737	PLOD2	CARBOHYD 63 63 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 209 209 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 297 297 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 365 365 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 522 522 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 696 696 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 725 725 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O00471	EXOC5_HUMAN	reviewed	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	Homo sapiens (Human)	708	EXOC5	
O00505	IMA4_HUMAN	reviewed	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	Homo sapiens (Human)	521	KPNA3	
O00541	PESC_HUMAN	reviewed	Pescadillo homolog	Homo sapiens (Human)	588	PES1	
O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	Homo sapiens (Human)	594	NOP56	
O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	Homo sapiens (Human)	662	DDX3X	
O00592	PODXL_HUMAN	reviewed	Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)	Homo sapiens (Human)	558	PODXL	CARBOHYD 33 33 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 43 43 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 104 104 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 144 144 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 360 360 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O00629	IMA3_HUMAN	reviewed	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	Homo sapiens (Human)	521	KPNA4	
O14497	ARI1A_HUMAN	reviewed	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	Homo sapiens (Human)	2285	ARID1A	
O14578	CTRO_HUMAN	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	Homo sapiens (Human)	2027	CIT	
O14617	AP3D1_HUMAN	reviewed	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	Homo sapiens (Human)	1153	AP3D1	
O14639	ABLM1_HUMAN	reviewed	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	Homo sapiens (Human)	778	ABLIM1	
O14646	CHD1_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	Homo sapiens (Human)	1710	CHD1	
O14647	CHD2_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)	Homo sapiens (Human)	1828	CHD2	
O14662	STX16_HUMAN	reviewed	Syntaxin-16 (Syn16)	Homo sapiens (Human)	325	STX16	
O14686	KMT2D_HUMAN	reviewed	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.43) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	Homo sapiens (Human)	5537	KMT2D	
O14744	ANM5_HUMAN	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	Homo sapiens (Human)	637	PRMT5	
O14745	NHRF1_HUMAN	reviewed	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	Homo sapiens (Human)	358	SLC9A3R1	
O14773	TPP1_HUMAN	reviewed	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	Homo sapiens (Human)	563	TPP1	CARBOHYD 210 210 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967, ECO:0000269|PubMed:19159218}.; CARBOHYD 222 222 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 286 286 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967}.; CARBOHYD 313 313 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967, ECO:0000269|PubMed:19159218}.; CARBOHYD 443 443 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967, ECO:0000269|PubMed:19159218}.
O14776	TCRG1_HUMAN	reviewed	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	Homo sapiens (Human)	1098	TCERG1	
O14777	NDC80_HUMAN	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	Homo sapiens (Human)	642	NDC80	
O14787	TNPO2_HUMAN	reviewed	Transportin-2 (Karyopherin beta-2b)	Homo sapiens (Human)	897	TNPO2	
O14818	PSA7_HUMAN	reviewed	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	Homo sapiens (Human)	248	PSMA7	CARBOHYD 130 130 O-linked (GlcNAc) serine. {ECO:0000250}.
O14828	SCAM3_HUMAN	reviewed	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	Homo sapiens (Human)	347	SCAMP3	
O14908	GIPC1_HUMAN	reviewed	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	Homo sapiens (Human)	333	GIPC1	
O14910	LIN7A_HUMAN	reviewed	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	Homo sapiens (Human)	233	LIN7A	
O14929	HAT1_HUMAN	reviewed	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	Homo sapiens (Human)	419	HAT1	
O14936	CSKP_HUMAN	reviewed	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	Homo sapiens (Human)	926	CASK	
O14964	HGS_HUMAN	reviewed	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	Homo sapiens (Human)	777	HGS	
O14974	MYPT1_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	Homo sapiens (Human)	1030	PPP1R12A	
O14976	GAK_HUMAN	reviewed	Cyclin-G-associated kinase (EC 2.7.11.1)	Homo sapiens (Human)	1311	GAK	
O14979	HNRDL_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	Homo sapiens (Human)	420	HNRNPDL	
O14980	XPO1_HUMAN	reviewed	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	Homo sapiens (Human)	1071	XPO1	
O15020	SPTN2_HUMAN	reviewed	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)	Homo sapiens (Human)	2390	SPTBN2	
O15027	SC16A_HUMAN	reviewed	Protein transport protein Sec16A (SEC16 homolog A) (p250)	Homo sapiens (Human)	2357	SEC16A	
O15031	PLXB2_HUMAN	reviewed	Plexin-B2 (MM1)	Homo sapiens (Human)	1838	PLXNB2	CARBOHYD 127 127 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 242 242 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 391 391 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 402 402 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 528 528 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 733 733 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 759 759 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 795 795 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 844 844 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1002 1002 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1049 1049 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1068 1068 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1099 1099 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15042	SR140_HUMAN	reviewed	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	Homo sapiens (Human)	1029	U2SURP	
O15047	SET1A_HUMAN	reviewed	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.43) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1)	Homo sapiens (Human)	1707	SETD1A	
O15067	PUR4_HUMAN	reviewed	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	Homo sapiens (Human)	1338	PFAS	
O15118	NPC1_HUMAN	reviewed	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	Homo sapiens (Human)	1278	NPC1	CARBOHYD 70 70 N-linked (GlcNAc...) asparagine. {ECO:0000305|PubMed:10821832}.; CARBOHYD 122 122 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:27238017, ECO:0000305|PubMed:10821832}.; CARBOHYD 135 135 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:27238017}.; CARBOHYD 158 158 N-linked (GlcNAc...) asparagine; atypical. {ECO:0000244|PDB:3GKI, ECO:0000244|PDB:3GKJ, ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:19563754, ECO:0000269|PubMed:27238017}.; CARBOHYD 185 185 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:27238017, ECO:0000305|PubMed:10821832}.; CARBOHYD 222 222 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3GKI, ECO:0000244|PDB:3GKJ, ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:19563754, ECO:0000269|PubMed:27238017}.; CARBOHYD 452 452 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 459 459 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 478 478 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:28784760}.; CARBOHYD 524 524 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760}.; CARBOHYD 557 557 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:28784760}.; CARBOHYD 572 572 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5HNS, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:27238017}.; CARBOHYD 598 598 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760}.; CARBOHYD 916 916 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 931 931 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 961 961 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 968 968 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 1064 1064 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760}.; CARBOHYD 1072 1072 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15126	SCAM1_HUMAN	reviewed	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	Homo sapiens (Human)	338	SCAMP1	
O15127	SCAM2_HUMAN	reviewed	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	Homo sapiens (Human)	329	SCAMP2	
O15143	ARC1B_HUMAN	reviewed	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	Homo sapiens (Human)	372	ARPC1B	
O15173	PGRC2_HUMAN	reviewed	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	Homo sapiens (Human)	223	PGRMC2	
O15213	WDR46_HUMAN	reviewed	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	Homo sapiens (Human)	610	WDR46	
O15230	LAMA5_HUMAN	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Homo sapiens (Human)	3695	LAMA5	CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 143 143 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 243 243 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 452 452 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 479 479 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 900 900 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 921 921 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 959 959 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1330 1330 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1529 1529 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1555 1555 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2196 2196 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2209 2209 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2303 2303 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2423 2423 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2501 2501 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2568 2568 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 2707 2707 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 3107 3107 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 3209 3209 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3257 3257 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3287 3287 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3626 3626 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15231	ZN185_HUMAN	reviewed	Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)	Homo sapiens (Human)	689	ZNF185	
O15234	CASC3_HUMAN	reviewed	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	Homo sapiens (Human)	703	CASC3	
O15269	SPTC1_HUMAN	reviewed	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	Homo sapiens (Human)	473	SPTLC1	
O15270	SPTC2_HUMAN	reviewed	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	Homo sapiens (Human)	562	SPTLC2	
