yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
B7ZC77	B7ZC77	reviewed	Catenin alpha-2 (Alpha N-catenin)	Danio rerio (Zebrafish) (Brachydanio rerio)	865	Ctnna2	CTNA2_DANRE	
F1PT61	F1PT61	reviewed	Myosin-16 (Myosin heavy chain 16)	Canis lupus familiaris (Dog) (Canis familiaris)	1930	MYH16	MYH16_CANLF	
H7BZ55	H7BZ55	reviewed	Putative ciliary rootlet coiled-coil protein 2	Homo sapiens (Human)	1655	CROCC2	CRCC2_HUMAN	
O00116	O00116	reviewed	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	Homo sapiens (Human)	658	AGPS	ADAS_HUMAN	
O00139	O00139	reviewed	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	Homo sapiens (Human)	706	KIF2A	KIF2A_HUMAN	
O00148	O00148	reviewed	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	Homo sapiens (Human)	427	DDX39A	DX39A_HUMAN	
O00159	O00159	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	Homo sapiens (Human)	1063	MYO1C	MYO1C_HUMAN	
O00161	O00161	reviewed	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	Homo sapiens (Human)	211	SNAP23	SNP23_HUMAN	
O00180	O00180	reviewed	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	Homo sapiens (Human)	336	KCNK1	KCNK1_HUMAN	CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:8978667}.
O00189	O00189	reviewed	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	Homo sapiens (Human)	453	AP4M1	AP4M1_HUMAN	
O00192	O00192	reviewed	Armadillo repeat protein deleted in velo-cardio-facial syndrome	Homo sapiens (Human)	962	ARVCF	ARVC_HUMAN	
O00203	O00203	reviewed	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	Homo sapiens (Human)	1094	AP3B1	AP3B1_HUMAN	
O00233	O00233	reviewed	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	Homo sapiens (Human)	223	PSMD9	PSMD9_HUMAN	
O00264	O00264	reviewed	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	Homo sapiens (Human)	195	PGRMC1	PGRC1_HUMAN	
O00291	O00291	reviewed	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	Homo sapiens (Human)	1037	HIP1	HIP1_HUMAN	
O00299	O00299	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	Homo sapiens (Human)	241	CLIC1	CLIC1_HUMAN	
O00308	O00308	reviewed	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	Homo sapiens (Human)	870	WWP2	WWP2_HUMAN	
O00410	O00410	reviewed	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	Homo sapiens (Human)	1097	IPO5	IPO5_HUMAN	
O00411	O00411	reviewed	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	Homo sapiens (Human)	1230	POLRMT	RPOM_HUMAN	
O00429	O00429	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	Homo sapiens (Human)	736	DNM1L	DNM1L_HUMAN	CARBOHYD 585 585 O-linked (GlcNAc) threonine. {ECO:0000250}.; CARBOHYD 586 586 O-linked (GlcNAc) threonine. {ECO:0000250}.
O00443	O00443	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	Homo sapiens (Human)	1686	PIK3C2A	P3C2A_HUMAN	
O00461	O00461	reviewed	Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)	Homo sapiens (Human)	696	GOLIM4	GOLI4_HUMAN	CARBOHYD 257 257 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O00468	O00468	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	Homo sapiens (Human)	2068	AGRN	AGRIN_HUMAN	CARBOHYD 135 135 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 250 250 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 777 777 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 932 932 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1835 1835 O-linked (Fuc...) serine. {ECO:0000250|UniProtKB:P25304}.
O00469	O00469	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	Homo sapiens (Human)	737	PLOD2	PLOD2_HUMAN	CARBOHYD 63 63 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 209 209 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 297 297 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 365 365 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 522 522 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 696 696 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 725 725 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O00471	O00471	reviewed	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	Homo sapiens (Human)	708	EXOC5	EXOC5_HUMAN	
O00505	O00505	reviewed	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	Homo sapiens (Human)	521	KPNA3	IMA4_HUMAN	
O00541	O00541	reviewed	Pescadillo homolog	Homo sapiens (Human)	588	PES1	PESC_HUMAN	
O00567	O00567	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	Homo sapiens (Human)	594	NOP56	NOP56_HUMAN	
O00571	O00571	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	Homo sapiens (Human)	662	DDX3X	DDX3X_HUMAN	
O00592	O00592	reviewed	Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)	Homo sapiens (Human)	558	PODXL	PODXL_HUMAN	CARBOHYD 33 33 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 43 43 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 104 104 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 144 144 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 360 360 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O00629	O00629	reviewed	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	Homo sapiens (Human)	521	KPNA4	IMA3_HUMAN	
O00764	O00764	reviewed	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	Homo sapiens (Human)	312	PDXK	PDXK_HUMAN	
O14497	O14497	reviewed	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	Homo sapiens (Human)	2285	ARID1A	ARI1A_HUMAN	
O14578	O14578	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	Homo sapiens (Human)	2027	CIT	CTRO_HUMAN	
O14617	O14617	reviewed	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	Homo sapiens (Human)	1153	AP3D1	AP3D1_HUMAN	
O14639	O14639	reviewed	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	Homo sapiens (Human)	778	ABLIM1	ABLM1_HUMAN	
O14646	O14646	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	Homo sapiens (Human)	1710	CHD1	CHD1_HUMAN	
O14647	O14647	reviewed	Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)	Homo sapiens (Human)	1828	CHD2	CHD2_HUMAN	
O14662	O14662	reviewed	Syntaxin-16 (Syn16)	Homo sapiens (Human)	325	STX16	STX16_HUMAN	
O14686	O14686	reviewed	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.43) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	Homo sapiens (Human)	5537	KMT2D	KMT2D_HUMAN	
O14744	O14744	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	Homo sapiens (Human)	637	PRMT5	ANM5_HUMAN	
O14745	O14745	reviewed	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	Homo sapiens (Human)	358	SLC9A3R1	NHRF1_HUMAN	
O14773	O14773	reviewed	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	Homo sapiens (Human)	563	TPP1	TPP1_HUMAN	CARBOHYD 210 210 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967, ECO:0000269|PubMed:19159218}.; CARBOHYD 222 222 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 286 286 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967}.; CARBOHYD 313 313 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967, ECO:0000269|PubMed:19159218}.; CARBOHYD 443 443 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19038966, ECO:0000269|PubMed:19038967, ECO:0000269|PubMed:19159218}.
O14776	O14776	reviewed	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	Homo sapiens (Human)	1098	TCERG1	TCRG1_HUMAN	
O14777	O14777	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	Homo sapiens (Human)	642	NDC80	NDC80_HUMAN	
O14787	O14787	reviewed	Transportin-2 (Karyopherin beta-2b)	Homo sapiens (Human)	897	TNPO2	TNPO2_HUMAN	
O14818	O14818	reviewed	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	Homo sapiens (Human)	248	PSMA7	PSA7_HUMAN	CARBOHYD 130 130 O-linked (GlcNAc) serine. {ECO:0000250}.
O14828	O14828	reviewed	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	Homo sapiens (Human)	347	SCAMP3	SCAM3_HUMAN	
O14908	O14908	reviewed	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	Homo sapiens (Human)	333	GIPC1	GIPC1_HUMAN	
O14910	O14910	reviewed	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	Homo sapiens (Human)	233	LIN7A	LIN7A_HUMAN	
O14929	O14929	reviewed	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	Homo sapiens (Human)	419	HAT1	HAT1_HUMAN	
O14936	O14936	reviewed	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	Homo sapiens (Human)	926	CASK	CSKP_HUMAN	
O14964	O14964	reviewed	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	Homo sapiens (Human)	777	HGS	HGS_HUMAN	
O14974	O14974	reviewed	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	Homo sapiens (Human)	1030	PPP1R12A	MYPT1_HUMAN	
O14976	O14976	reviewed	Cyclin-G-associated kinase (EC 2.7.11.1)	Homo sapiens (Human)	1311	GAK	GAK_HUMAN	
O14979	O14979	reviewed	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	Homo sapiens (Human)	420	HNRNPDL	HNRDL_HUMAN	
O14980	O14980	reviewed	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	Homo sapiens (Human)	1071	XPO1	XPO1_HUMAN	
O15014	O15014	reviewed	Zinc finger protein 609	Homo sapiens (Human)	1411	ZNF609	ZN609_HUMAN	
O15020	O15020	reviewed	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)	Homo sapiens (Human)	2390	SPTBN2	SPTN2_HUMAN	
O15027	O15027	reviewed	Protein transport protein Sec16A (SEC16 homolog A)	Homo sapiens (Human)	2179	SEC16A	SC16A_HUMAN	
O15031	O15031	reviewed	Plexin-B2 (MM1)	Homo sapiens (Human)	1838	PLXNB2	PLXB2_HUMAN	CARBOHYD 127 127 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 242 242 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 391 391 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 402 402 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 528 528 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 733 733 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 759 759 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 795 795 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 844 844 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1002 1002 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1049 1049 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1068 1068 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1099 1099 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15042	O15042	reviewed	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	Homo sapiens (Human)	1029	U2SURP	SR140_HUMAN	
O15047	O15047	reviewed	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.43) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1)	Homo sapiens (Human)	1707	SETD1A	SET1A_HUMAN	
O15067	O15067	reviewed	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	Homo sapiens (Human)	1338	PFAS	PUR4_HUMAN	
O15118	O15118	reviewed	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	Homo sapiens (Human)	1278	NPC1	NPC1_HUMAN	CARBOHYD 70 70 N-linked (GlcNAc...) asparagine. {ECO:0000305|PubMed:10821832}.; CARBOHYD 122 122 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:27238017, ECO:0000305|PubMed:10821832}.; CARBOHYD 135 135 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:27238017}.; CARBOHYD 158 158 N-linked (GlcNAc...) asparagine; atypical. {ECO:0000244|PDB:3GKI, ECO:0000244|PDB:3GKJ, ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:19563754, ECO:0000269|PubMed:27238017}.; CARBOHYD 185 185 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:27238017, ECO:0000305|PubMed:10821832}.; CARBOHYD 222 222 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3GKI, ECO:0000244|PDB:3GKJ, ECO:0000244|PDB:3JD8, ECO:0000269|PubMed:19563754, ECO:0000269|PubMed:27238017}.; CARBOHYD 452 452 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 459 459 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 478 478 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:28784760}.; CARBOHYD 524 524 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760}.; CARBOHYD 557 557 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:28784760}.; CARBOHYD 572 572 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5HNS, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:27238017}.; CARBOHYD 598 598 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5HNS, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:26846330, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760}.; CARBOHYD 916 916 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 931 931 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 961 961 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 968 968 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5U74, ECO:0000269|PubMed:28784760}.; CARBOHYD 1064 1064 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3JD8, ECO:0000244|PDB:5U74, ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760}.; CARBOHYD 1072 1072 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O15126	O15126	reviewed	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	Homo sapiens (Human)	338	SCAMP1	SCAM1_HUMAN	
O15127	O15127	reviewed	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	Homo sapiens (Human)	329	SCAMP2	SCAM2_HUMAN	
O15143	O15143	reviewed	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	Homo sapiens (Human)	372	ARPC1B	ARC1B_HUMAN	
O15173	O15173	reviewed	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	Homo sapiens (Human)	223	PGRMC2	PGRC2_HUMAN	
O15213	O15213	reviewed	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	Homo sapiens (Human)	610	WDR46	WDR46_HUMAN	
